HUD frame time nsec:,16724000

Range Index,Elapsed Time, First Event,Last Event
0,5824,13,13
1,5024,15,15
2,1888,18,18
3,53440,49,49
4,155520,89,89
5,6112,97,97
6,3872,137,137
7,832,178,178
8,1216,219,219
9,1216,260,260
10,1184,301,301
11,3936,342,342
12,3680,383,383
13,4576,424,424
14,640,465,465
15,640,506,506
16,640,547,547
17,608,588,588
18,5568,629,629
19,5952,670,670
20,6656,711,711
21,6176,752,752
22,640,793,793
23,608,834,834
24,11040,875,875
25,12864,916,916
26,13376,957,957
27,9760,998,998
28,6304,1039,1039
29,6208,1080,1080
30,65312,1121,1121
31,58144,1162,1162
32,43712,1203,1203
33,23648,1244,1244
34,14304,1285,1285
35,9664,1326,1326
36,6496,1367,1367
37,7296,1408,1408
38,64224,1449,1449
39,56096,1490,1490
40,42240,1531,1531
41,25664,1572,1572
42,14560,1613,1613
43,9120,1654,1654
44,6880,1695,1695
45,6016,1736,1736
46,608,1777,1777
47,608,1818,1818
48,10272,1859,1859
49,15328,1900,1900
50,12608,1941,1941
51,9248,1982,1982
52,6816,2023,2023
53,6368,2064,2064
54,640,2105,2105
55,640,2146,2146
56,608,2187,2187
57,640,2228,2228
58,3008,2269,2269
59,6304,2310,2310
60,6656,2351,2351
61,6400,2392,2392
62,672,2433,2433
63,640,2474,2474
64,608,2515,2515
65,640,2556,2556
66,640,2597,2597
67,608,2638,2638
68,1504,2679,2679
69,32960,2720,2720
70,98240,2745,2745
71,6144,2750,2750
72,41024,2759,2759
73,608,2790,2790
74,9445792,2805,2805
