HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,6016,13,13
1,2624,15,15
2,1056,18,18
3,32832,49,49
4,54656,89,89
5,6560,97,97
6,3328,137,137
7,704,178,178
8,768,219,219
9,704,260,260
10,768,301,301
11,704,342,342
12,768,383,383
13,800,424,424
14,896,465,465
15,768,506,506
16,736,547,547
17,800,588,588
18,960,629,629
19,768,670,670
20,704,711,711
21,768,752,752
22,704,793,793
23,736,834,834
24,704,875,875
25,704,916,916
26,704,957,957
27,768,998,998
28,704,1039,1039
29,736,1080,1080
30,14336,1121,1121
31,4064,1162,1162
32,704,1203,1203
33,736,1244,1244
34,704,1285,1285
35,704,1326,1326
36,736,1367,1367
37,736,1408,1408
38,17184,1449,1449
39,26240,1490,1490
40,8960,1531,1531
41,2688,1572,1572
42,704,1613,1613
43,736,1654,1654
44,704,1695,1695
45,704,1736,1736
46,4320,1777,1777
47,23008,1818,1818
48,11808,1859,1859
49,7072,1900,1900
50,3808,1941,1941
51,1888,1982,1982
52,736,2023,2023
53,672,2064,2064
54,704,2105,2105
55,5312,2146,2146
56,7776,2187,2187
57,4704,2228,2228
58,3712,2269,2269
59,2368,2310,2310
60,1856,2351,2351
61,1184,2392,2392
62,704,2433,2433
63,1088,2474,2474
64,4832,2515,2515
65,3008,2556,2556
66,2240,2597,2597
67,1824,2638,2638
68,1248,2679,2679
69,960,2720,2720
70,58464,2745,2745
71,6560,2750,2750
72,61056,2761,2761
73,6144,2767,2767
74,180672,2783,2783
75,182592,2792,2792
76,175296,2801,2801
77,178912,2810,2810
78,173728,2819,2819
79,178880,2828,2828
80,175136,2837,2837
81,178112,2846,2846
82,176832,2855,2855
83,179552,2864,2864
84,175456,2873,2873
85,178208,2882,2882
86,176000,2891,2891
87,181024,2900,2900
88,176096,2909,2909
89,179968,2918,2918
90,176704,2927,2927
91,179008,2936,2936
92,203712,2945,2945
93,180832,2954,2954
94,7200,2960,2960
95,57248,2975,2975
96,5824,2981,2981
97,17792,2990,2990
98,704,3021,3021
99,8768000,3036,3036
