HUD frame time nsec:,16982000

Range Index,Elapsed Time, First Event,Last Event
0,6112,13,13
1,4640,15,15
2,2016,18,18
3,188960,53,53
4,6112,61,61
5,3904,101,101
6,960,142,142
7,1248,183,183
8,1120,224,224
9,1152,265,265
10,3552,306,306
11,3872,347,347
12,5024,388,388
13,640,429,429
14,640,470,470
15,800,511,511
16,608,552,552
17,3936,593,593
18,6080,634,634
19,7328,675,675
20,5536,716,716
21,608,757,757
22,640,798,798
23,10272,839,839
24,13280,880,880
25,13184,921,921
26,9440,962,962
27,6528,1003,1003
28,6272,1044,1044
29,65536,1085,1085
30,57696,1126,1126
31,43584,1167,1167
32,23328,1208,1208
33,14624,1249,1249
34,8960,1290,1290
35,6784,1331,1331
36,5824,1372,1372
37,64832,1413,1413
38,55776,1454,1454
39,42784,1495,1495
40,25792,1536,1536
41,14240,1577,1577
42,9184,1618,1618
43,6848,1659,1659
44,5856,1700,1700
45,608,1741,1741
46,640,1782,1782
47,11040,1823,1823
48,14464,1864,1864
49,12864,1905,1905
50,9280,1946,1946
51,7232,1987,1987
52,5600,2028,2028
53,640,2069,2069
54,672,2110,2110
55,640,2151,2151
56,608,2192,2192
57,3744,2233,2233
58,6016,2274,2274
59,7296,2315,2315
60,7008,2356,2356
61,640,2397,2397
62,640,2438,2438
63,608,2479,2479
64,672,2520,2520
65,672,2561,2561
66,640,2602,2602
67,608,2643,2643
68,3040,2684,2684
69,95488,2709,2709
70,6496,2714,2714
71,97824,2725,2725
72,10880,2733,2733
73,295872,2747,2747
74,292544,2756,2756
75,288704,2765,2765
76,288448,2774,2774
77,287968,2783,2783
78,288448,2792,2792
79,288416,2801,2801
80,288640,2810,2810
81,287616,2819,2819
82,288576,2828,2828
83,288224,2837,2837
84,288672,2846,2846
85,288320,2855,2855
86,288768,2864,2864
87,288704,2873,2873
88,288768,2882,2882
89,287872,2891,2891
90,288096,2900,2900
91,307840,2909,2909
92,288832,2918,2918
93,6464,2924,2924
94,95360,2939,2939
95,5600,2945,2945
96,33792,2954,2954
97,608,2985,2985
98,852480,3000,3000
