HUD frame time nsec:,16718000

Range Index,Elapsed Time, First Event,Last Event
0,6592,13,13
1,4448,15,15
2,2176,18,18
3,194784,53,53
4,5920,61,61
5,3936,93,93
6,832,126,126
7,1216,159,159
8,2880,192,192
9,3968,225,225
10,4192,258,258
11,5376,291,291
12,4672,324,324
13,640,357,357
14,640,390,390
15,2368,423,423
16,6848,456,456
17,7648,489,489
18,7008,522,522
19,5344,555,555
20,4352,588,588
21,3648,621,621
22,14176,654,654
23,15936,687,687
24,13536,720,720
25,9184,753,753
26,5984,786,786
27,5760,819,819
28,4032,852,852
29,35648,885,885
30,36320,918,918
31,21280,951,951
32,13344,984,984
33,8800,1017,1017
34,6432,1050,1050
35,4960,1083,1083
36,4736,1116,1116
37,32960,1149,1149
38,32896,1182,1182
39,22336,1215,1215
40,13664,1248,1248
41,9376,1281,1281
42,6304,1314,1314
43,4832,1347,1347
44,5152,1380,1380
45,608,1413,1413
46,10080,1446,1446
47,12224,1479,1479
48,11264,1512,1512
49,9792,1545,1545
50,6912,1578,1578
51,5984,1611,1611
52,4352,1644,1644
53,640,1677,1677
54,608,1710,1710
55,608,1743,1743
56,2464,1776,1776
57,5344,1809,1809
58,5536,1842,1842
59,6144,1875,1875
60,4928,1908,1908
61,640,1941,1941
62,640,1974,1974
63,608,2007,2007
64,640,2040,2040
65,640,2073,2073
66,1472,2106,2106
67,1952,2139,2139
68,2720,2172,2172
69,60160,2196,2196
70,608,2227,2227
71,10471232,2242,2242
