HUD frame time nsec:,16674000

Range Index,Elapsed Time, First Event,Last Event
0,5728,19,19
1,10848,21,21
2,15104,71,71
3,9472,128,128
4,640,185,185
5,608,242,242
6,640,299,299
7,1312,344,344
8,640,348,348
9,608,352,352
10,608,356,356
11,768,360,360
12,608,417,417
13,7936,474,474
14,29568,487,487
15,18912,537,537
16,63008,596,596
17,768,655,655
18,640,714,714
19,640,773,773
20,672,820,820
21,736,824,824
22,864,828,828
23,1728,832,832
24,864,836,836
25,864,895,895
26,43296,954,954
27,11136,1008,1008
28,109312,1063,1063
29,6304,1070,1070
30,40832,1079,1079
31,640,1110,1110
32,12287296,1125,1125
