HUD frame time nsec:,16725000

Range Index,Elapsed Time, First Event,Last Event
0,5568,13,13
1,5440,15,15
2,1824,18,18
3,198944,53,53
4,6112,61,61
5,3840,101,101
6,1120,142,142
7,1344,183,183
8,960,224,224
9,1152,265,265
10,1152,306,306
11,1216,347,347
12,1184,388,388
13,1152,429,429
14,1184,470,470
15,1248,511,511
16,1056,552,552
17,1216,593,593
18,1088,634,634
19,1184,675,675
20,1216,716,716
21,1184,757,757
22,1184,798,798
23,1120,839,839
24,1184,880,880
25,3552,921,921
26,1760,962,962
27,2880,1003,1003
28,2528,1044,1044
29,64416,1085,1085
30,67744,1126,1126
31,25376,1167,1167
32,15968,1208,1208
33,12320,1249,1249
34,10272,1290,1290
35,8640,1331,1331
36,8608,1372,1372
37,62848,1413,1413
38,73120,1454,1454
39,69632,1495,1495
40,31840,1536,1536
41,18848,1577,1577
42,12288,1618,1618
43,8992,1659,1659
44,7168,1700,1700
45,672,1741,1741
46,15008,1782,1782
47,28992,1823,1823
48,28320,1864,1864
49,15808,1905,1905
50,10080,1946,1946
51,7840,1987,1987
52,6688,2028,2028
53,608,2069,2069
54,640,2110,2110
55,3328,2151,2151
56,13440,2192,2192
57,13856,2233,2233
58,9600,2274,2274
59,6976,2315,2315
60,6496,2356,2356
61,640,2397,2397
62,608,2438,2438
63,608,2479,2479
64,640,2520,2520
65,6080,2561,2561
66,8640,2602,2602
67,6016,2643,2643
68,3936,2684,2684
69,95712,2709,2709
70,6176,2714,2714
71,97696,2725,2725
72,10176,2734,2734
73,295296,2748,2748
74,288896,2757,2757
75,289248,2766,2766
76,288736,2775,2775
77,288320,2784,2784
78,288736,2793,2793
79,287744,2802,2802
80,289408,2811,2811
81,288000,2820,2820
82,595040,2829,2829
83,287712,2838,2838
84,288512,2847,2847
85,287808,2856,2856
86,290656,2865,2865
87,288448,2874,2874
88,288992,2883,2883
89,288064,2892,2892
90,288256,2901,2901
91,312640,2910,2910
92,289440,2919,2919
93,6592,2925,2925
94,95264,2940,2940
95,5632,2946,2946
96,34208,2955,2955
97,608,2986,2986
98,492544,3001,3001
