HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,6016,13,13
1,2624,15,15
2,1056,18,18
3,32416,49,49
4,51424,89,89
5,6528,97,97
6,3264,137,137
7,736,178,178
8,768,219,219
9,736,260,260
10,768,301,301
11,704,342,342
12,736,383,383
13,736,424,424
14,768,465,465
15,736,506,506
16,768,547,547
17,800,588,588
18,736,629,629
19,768,670,670
20,736,711,711
21,768,752,752
22,736,793,793
23,736,834,834
24,800,875,875
25,768,916,916
26,704,957,957
27,800,998,998
28,736,1039,1039
29,704,1080,1080
30,768,1121,1121
31,768,1162,1162
32,704,1203,1203
33,736,1244,1244
34,704,1285,1285
35,768,1326,1326
36,736,1367,1367
37,704,1408,1408
38,768,1449,1449
39,8352,1490,1490
40,6304,1531,1531
41,4640,1572,1572
42,2272,1613,1613
43,704,1654,1654
44,704,1695,1695
45,736,1736,1736
46,4672,1777,1777
47,12096,1818,1818
48,7008,1859,1859
49,4800,1900,1900
50,3360,1941,1941
51,2432,1982,1982
52,1536,2023,2023
53,1088,2064,2064
54,2080,2105,2105
55,6432,2146,2146
56,5504,2187,2187
57,4064,2228,2228
58,2272,2269,2269
59,1984,2310,2310
60,1600,2351,2351
61,928,2392,2392
62,704,2433,2433
63,1216,2474,2474
64,3616,2515,2515
65,2400,2556,2556
66,1568,2597,2597
67,1216,2638,2638
68,864,2679,2679
69,736,2720,2720
70,57280,2745,2745
71,6720,2750,2750
72,60352,2761,2761
73,6112,2767,2767
74,180288,2783,2783
75,179712,2792,2792
76,173888,2801,2801
77,176128,2810,2810
78,172416,2819,2819
79,174080,2828,2828
80,171648,2837,2837
81,175168,2846,2846
82,172832,2855,2855
83,174496,2864,2864
84,171360,2873,2873
85,174656,2882,2882
86,171680,2891,2891
87,188416,2900,2900
88,170208,2909,2909
89,177664,2918,2918
90,171136,2927,2927
91,175168,2936,2936
92,171616,2945,2945
93,173728,2954,2954
94,7488,2960,2960
95,57504,2975,2975
96,5856,2981,2981
97,16864,2990,2990
98,736,3021,3021
99,8555136,3036,3036
