HUD frame time nsec:,16726000

Range Index,Elapsed Time, First Event,Last Event
0,6016,13,13
1,9504,15,15
2,640,18,18
3,54176,49,49
4,158848,89,89
5,8192,97,97
6,1344,137,137
7,992,178,178
8,1216,219,219
9,1088,260,260
10,1248,301,301
11,6784,342,342
12,608,383,383
13,1056,424,424
14,640,465,465
15,640,506,506
16,704,547,547
17,640,588,588
18,640,629,629
19,1888,670,670
20,5024,711,711
21,6688,752,752
22,608,793,793
23,640,834,834
24,640,875,875
25,9888,916,916
26,11232,957,957
27,9952,998,998
28,6880,1039,1039
29,6368,1080,1080
30,64960,1121,1121
31,56096,1162,1162
32,41376,1203,1203
33,24224,1244,1244
34,15264,1285,1285
35,9632,1326,1326
36,7136,1367,1367
37,6240,1408,1408
38,64672,1449,1449
39,61856,1490,1490
40,50400,1531,1531
41,23296,1572,1572
42,14208,1613,1613
43,9248,1654,1654
44,8672,1695,1695
45,3616,1736,1736
46,640,1777,1777
47,608,1818,1818
48,12832,1859,1859
49,18080,1900,1900
50,13824,1941,1941
51,9216,1982,1982
52,1152,2023,2023
53,6016,2064,2064
54,640,2105,2105
55,640,2146,2146
56,640,2187,2187
57,1472,2228,2228
58,6720,2269,2269
59,8320,2310,2310
60,1152,2351,2351
61,6080,2392,2392
62,608,2433,2433
63,672,2474,2474
64,640,2515,2515
65,608,2556,2556
66,608,2597,2597
67,1280,2638,2638
68,9728,2679,2679
69,640,2720,2720
70,95872,2745,2745
71,6176,2750,2750
72,97920,2761,2761
73,10336,2769,2769
74,292352,2783,2783
75,291680,2792,2792
76,288992,2801,2801
77,289248,2810,2810
78,287968,2819,2819
79,288512,2828,2828
80,288224,2837,2837
81,289152,2846,2846
82,287424,2855,2855
83,289344,2864,2864
84,287872,2873,2873
85,288832,2882,2882
86,287680,2891,2891
87,288736,2900,2900
88,287648,2909,2909
89,306432,2918,2918
90,306400,2927,2927
91,311360,2936,2936
92,287712,2945,2945
93,289344,2954,2954
94,6016,2960,2960
95,94816,2975,2975
96,5632,2981,2981
97,32736,2990,2990
98,608,3021,3021
99,1087936,3036,3036
