HUD frame time nsec:,16727000

Range Index,Elapsed Time, First Event,Last Event
0,6208,13,13
1,4128,15,15
2,2208,18,18
3,183360,53,53
4,6112,61,61
5,3808,101,101
6,1216,142,142
7,1120,183,183
8,1120,224,224
9,1216,265,265
10,5472,306,306
11,3648,347,347
12,5536,388,388
13,608,429,429
14,640,470,470
15,640,511,511
16,1536,552,552
17,6560,593,593
18,6752,634,634
19,7872,675,675
20,6016,716,716
21,608,757,757
22,640,798,798
23,9696,839,839
24,15904,880,880
25,13952,921,921
26,9408,962,962
27,7328,1003,1003
28,6240,1044,1044
29,640,1085,1085
30,7936,1126,1126
31,23232,1167,1167
32,20992,1208,1208
33,13408,1249,1249
34,9344,1290,1290
35,6752,1331,1331
36,6624,1372,1372
37,640,1413,1413
38,7008,1454,1454
39,22848,1495,1495
40,21824,1536,1536
41,12992,1577,1577
42,9184,1618,1618
43,7008,1659,1659
44,6048,1700,1700
45,640,1741,1741
46,672,1782,1782
47,8800,1823,1823
48,16480,1864,1864
49,13088,1905,1905
50,9088,1946,1946
51,7456,1987,1987
52,6368,2028,2028
53,640,2069,2069
54,640,2110,2110
55,640,2151,2151
56,1024,2192,2192
57,5408,2233,2233
58,7552,2274,2274
59,7328,2315,2315
60,6592,2356,2356
61,608,2397,2397
62,640,2438,2438
63,640,2479,2479
64,640,2520,2520
65,640,2561,2561
66,640,2602,2602
67,640,2643,2643
68,3072,2684,2684
69,99136,2709,2709
70,6400,2714,2714
71,97824,2725,2725
72,5984,2731,2731
73,40736,2740,2740
74,608,2771,2771
75,10398016,2786,2786
