HUD frame time nsec:,16726000

Range Index,Elapsed Time, First Event,Last Event
0,6144,13,13
1,4800,15,15
2,1824,18,18
3,179680,53,53
4,6112,61,61
5,3648,101,101
6,1312,142,142
7,1120,183,183
8,1120,224,224
9,1184,265,265
10,1184,306,306
11,1152,347,347
12,1248,388,388
13,1120,429,429
14,1216,470,470
15,1088,511,511
16,1216,552,552
17,1184,593,593
18,1120,634,634
19,1184,675,675
20,1216,716,716
21,1216,757,757
22,1216,798,798
23,1152,839,839
24,1152,880,880
25,1184,921,921
26,1216,962,962
27,1216,1003,1003
28,1120,1044,1044
29,68480,1085,1085
30,66656,1126,1126
31,22080,1167,1167
32,12000,1208,1208
33,8896,1249,1249
34,6080,1290,1290
35,5952,1331,1331
36,4640,1372,1372
37,63840,1413,1413
38,71552,1454,1454
39,61984,1495,1495
40,32768,1536,1536
41,19200,1577,1577
42,12032,1618,1618
43,9952,1659,1659
44,6432,1700,1700
45,608,1741,1741
46,19104,1782,1782
47,36128,1823,1823
48,25984,1864,1864
49,14752,1905,1905
50,9728,1946,1946
51,8032,1987,1987
52,5568,2028,2028
53,608,2069,2069
54,640,2110,2110
55,9024,2151,2151
56,17696,2192,2192
57,12000,2233,2233
58,8512,2274,2274
59,6752,2315,2315
60,5600,2356,2356
61,640,2397,2397
62,608,2438,2438
63,640,2479,2479
64,4288,2520,2520
65,9696,2561,2561
66,7168,2602,2602
67,5152,2643,2643
68,3552,2684,2684
69,95808,2709,2709
70,6208,2714,2714
71,97696,2725,2725
72,10432,2734,2734
73,295680,2748,2748
74,289024,2757,2757
75,288064,2766,2766
76,289056,2775,2775
77,288352,2784,2784
78,288192,2793,2793
79,590112,2802,2802
80,288448,2811,2811
81,287712,2820,2820
82,288864,2829,2829
83,287808,2838,2838
84,288448,2847,2847
85,287712,2856,2856
86,288736,2865,2865
87,289152,2874,2874
88,288256,2883,2883
89,287584,2892,2892
90,288544,2901,2901
91,287616,2910,2910
92,288928,2919,2919
93,6592,2925,2925
94,95232,2940,2940
95,5600,2946,2946
96,33984,2955,2955
97,640,2986,2986
98,416672,3001,3001
