HUD frame time nsec:,16725000

Range Index,Elapsed Time, First Event,Last Event
0,6368,13,13
1,4320,15,15
2,2240,18,18
3,178368,53,53
4,5920,61,61
5,4064,96,96
6,1152,129,129
7,1152,162,162
8,7232,195,195
9,5504,228,228
10,5952,261,261
11,5984,294,294
12,5024,327,327
13,640,360,360
14,2464,393,393
15,9376,426,426
16,11680,459,459
17,10176,492,492
18,6656,525,525
19,5088,558,558
20,5504,591,591
21,3680,624,624
22,17312,657,657
23,24640,690,690
24,15360,723,723
25,9504,756,756
26,7584,789,789
27,4512,822,822
28,5728,855,855
29,15904,888,888
30,28544,921,921
31,25536,954,954
32,14592,987,987
33,10848,1020,1020
34,6752,1053,1053
35,6336,1086,1086
36,5248,1119,1119
37,1504,1152,1152
38,12512,1185,1185
39,19744,1218,1218
40,16448,1251,1251
41,11072,1284,1284
42,8224,1317,1317
43,6336,1350,1350
44,4640,1383,1383
45,608,1416,1416
46,608,1449,1449
47,1600,1482,1482
48,7392,1515,1515
49,7552,1548,1548
50,7136,1581,1581
51,6496,1614,1614
52,5984,1647,1647
53,672,1680,1680
54,640,1713,1713
55,640,1746,1746
56,640,1779,1779
57,608,1812,1812
58,640,1845,1845
59,3680,1878,1878
60,4576,1911,1911
61,640,1944,1944
62,608,1977,1977
63,672,2010,2010
64,640,2043,2043
65,640,2076,2076
66,640,2109,2109
67,1536,2142,2142
68,1184,2175,2175
69,44480,2198,2198
70,608,2229,2229
71,11240992,2244,2244
