HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,5984,13,13
1,3168,15,15
2,1056,18,18
3,33056,44,44
4,53632,79,79
5,6592,87,87
6,3264,122,122
7,704,158,158
8,800,194,194
9,736,230,230
10,768,266,266
11,1344,302,302
12,736,338,338
13,704,374,374
14,768,410,410
15,704,446,446
16,736,482,482
17,736,518,518
18,768,554,554
19,736,590,590
20,2016,626,626
21,1248,662,662
22,800,698,698
23,800,734,734
24,1696,770,770
25,4640,806,806
26,4320,842,842
27,3072,878,878
28,1568,914,914
29,1376,950,950
30,13376,986,986
31,9504,1022,1022
32,8064,1058,1058
33,5760,1094,1094
34,4288,1130,1130
35,2752,1166,1166
36,1760,1202,1202
37,1120,1238,1238
38,13568,1274,1274
39,9664,1310,1310
40,8160,1346,1346
41,6912,1382,1382
42,3232,1418,1418
43,2752,1454,1454
44,1632,1490,1490
45,928,1526,1526
46,768,1562,1562
47,736,1598,1598
48,1184,1634,1634
49,4544,1670,1670
50,4480,1706,1706
51,2464,1742,1742
52,2304,1778,1778
53,864,1814,1814
54,768,1850,1850
55,736,1886,1886
56,800,1922,1922
57,704,1958,1958
58,768,1994,1994
59,736,2030,2030
60,704,2066,2066
61,736,2102,2102
62,704,2138,2138
63,704,2174,2174
64,704,2210,2210
65,704,2246,2246
66,736,2282,2282
67,704,2318,2318
68,704,2354,2354
69,736,2390,2390
70,57728,2415,2415
71,6656,2420,2420
72,59936,2431,2431
73,6144,2437,2437
74,177824,2453,2453
75,178208,2462,2462
76,169312,2471,2471
77,172800,2480,2480
78,169472,2489,2489
79,173056,2498,2498
80,169120,2507,2507
81,173920,2516,2516
82,169408,2525,2525
83,173056,2534,2534
84,169120,2543,2543
85,172864,2552,2552
86,168000,2561,2561
87,169792,2570,2570
88,167840,2579,2579
89,170624,2588,2588
90,196224,2597,2597
91,170944,2606,2606
92,168096,2615,2615
93,172576,2624,2624
94,7328,2630,2630
95,56768,2645,2645
96,5824,2651,2651
97,16384,2660,2660
98,704,2691,2691
99,8876928,2706,2706
