HUD frame time nsec:,16717000

Range Index,Elapsed Time, First Event,Last Event
0,6528,13,13
1,4480,15,15
2,2240,18,18
3,172768,53,53
4,6144,61,61
5,3744,101,101
6,992,142,142
7,1152,183,183
8,1216,224,224
9,1184,265,265
10,3680,306,306
11,4096,347,347
12,4384,388,388
13,672,429,429
14,640,470,470
15,640,511,511
16,608,552,552
17,5344,593,593
18,6016,634,634
19,6976,675,675
20,5888,716,716
21,608,757,757
22,608,798,798
23,11104,839,839
24,12896,880,880
25,13344,921,921
26,8928,962,962
27,7392,1003,1003
28,5824,1044,1044
29,65024,1085,1085
30,57696,1126,1126
31,43392,1167,1167
32,23840,1208,1208
33,13984,1249,1249
34,9600,1290,1290
35,8704,1331,1331
36,4288,1372,1372
37,65088,1413,1413
38,56480,1454,1454
39,42592,1495,1495
40,25728,1536,1536
41,14656,1577,1577
42,9312,1618,1618
43,7232,1659,1659
44,5248,1700,1700
45,608,1741,1741
46,640,1782,1782
47,10720,1823,1823
48,14720,1864,1864
49,12928,1905,1905
50,9824,1946,1946
51,6816,1987,1987
52,6336,2028,2028
53,640,2069,2069
54,640,2110,2110
55,640,2151,2151
56,640,2192,2192
57,3904,2233,2233
58,5824,2274,2274
59,7360,2315,2315
60,6272,2356,2356
61,672,2397,2397
62,608,2438,2438
63,608,2479,2479
64,608,2520,2520
65,608,2561,2561
66,608,2602,2602
67,608,2643,2643
68,2880,2684,2684
69,95552,2709,2709
70,6464,2714,2714
71,97824,2725,2725
72,10208,2733,2733
73,640,2747,2747
74,3168,2756,2756
75,2816,2765,2765
76,2880,2774,2774
77,2848,2783,2783
78,2816,2792,2792
79,2784,2801,2801
80,2784,2810,2810
81,2752,2819,2819
82,2816,2828,2828
83,2816,2837,2837
84,2784,2846,2846
85,2784,2855,2855
86,2752,2864,2864
87,7072,2873,2873
88,2784,2882,2882
89,3040,2891,2891
90,2784,2900,2900
91,2784,2909,2909
92,2848,2918,2918
93,6016,2924,2924
94,94944,2939,2939
95,5632,2945,2945
96,50560,2954,2954
97,1408,2985,2985
98,9069664,3000,3000
