HUD frame time nsec:,16718000

Range Index,Elapsed Time, First Event,Last Event
0,5920,13,13
1,4704,15,15
2,1888,18,18
3,204544,53,53
4,5920,61,61
5,4032,97,97
6,896,130,130
7,1184,163,163
8,3808,196,196
9,5632,229,229
10,6240,262,262
11,5696,295,295
12,5792,328,328
13,640,361,361
14,608,394,394
15,640,427,427
16,8448,460,460
17,11360,493,493
18,8448,526,526
19,6208,559,559
20,5728,592,592
21,608,625,625
22,13632,658,658
23,23840,691,691
24,20480,724,724
25,12480,757,757
26,8960,790,790
27,5920,823,823
28,5312,856,856
29,66976,889,889
30,67168,922,922
31,53184,955,955
32,23136,988,988
33,14304,1021,1021
34,9216,1054,1054
35,7040,1087,1087
36,7360,1120,1120
37,63296,1153,1153
38,45504,1186,1186
39,32160,1219,1219
40,22336,1252,1252
41,15296,1285,1285
42,10496,1318,1318
43,7968,1351,1351
44,6560,1384,1384
45,672,1417,1417
46,640,1450,1450
47,640,1483,1483
48,2816,1516,1516
49,6208,1549,1549
50,5536,1582,1582
51,6080,1615,1615
52,6912,1648,1648
53,608,1681,1681
54,672,1714,1714
55,640,1747,1747
56,640,1780,1780
57,864,1813,1813
58,640,1846,1846
59,608,1879,1879
60,1888,1912,1912
61,640,1945,1945
62,736,1978,1978
63,27872,2011,2011
64,1504,2044,2044
65,1216,2077,2077
66,1120,2110,2110
67,1184,2143,2143
68,1248,2176,2176
69,43968,2200,2200
70,608,2231,2231
71,11385216,2246,2246
