HUD frame time nsec:,16719000

Range Index,Elapsed Time, First Event,Last Event
0,6656,13,13
1,4320,15,15
2,2176,18,18
3,174624,53,53
4,6112,61,61
5,3776,101,101
6,1216,142,142
7,1216,183,183
8,1120,224,224
9,1152,265,265
10,3904,306,306
11,3360,347,347
12,4224,388,388
13,640,429,429
14,640,470,470
15,640,511,511
16,640,552,552
17,6176,593,593
18,6144,634,634
19,7392,675,675
20,6144,716,716
21,608,757,757
22,640,798,798
23,10272,839,839
24,12768,880,880
25,13440,921,921
26,9536,962,962
27,6720,1003,1003
28,6592,1044,1044
29,65024,1085,1085
30,57472,1126,1126
31,43424,1167,1167
32,24288,1208,1208
33,13824,1249,1249
34,9376,1290,1290
35,6688,1331,1331
36,6592,1372,1372
37,65408,1413,1413
38,55936,1454,1454
39,42688,1495,1495
40,25664,1536,1536
41,14688,1577,1577
42,8832,1618,1618
43,7456,1659,1659
44,6016,1700,1700
45,640,1741,1741
46,640,1782,1782
47,10016,1823,1823
48,14912,1864,1864
49,12864,1905,1905
50,9376,1946,1946
51,7296,1987,1987
52,5952,2028,2028
53,640,2069,2069
54,672,2110,2110
55,640,2151,2151
56,608,2192,2192
57,3744,2233,2233
58,6112,2274,2274
59,7072,2315,2315
60,5760,2356,2356
61,640,2397,2397
62,608,2438,2438
63,640,2479,2479
64,640,2520,2520
65,608,2561,2561
66,608,2602,2602
67,2400,2643,2643
68,2560,2684,2684
69,95552,2709,2709
70,6464,2714,2714
71,97824,2725,2725
72,10304,2733,2733
73,292832,2747,2747
74,292448,2756,2756
75,330176,2765,2765
76,331104,2774,2774
77,326656,2783,2783
78,330752,2792,2792
79,329312,2801,2801
80,330944,2810,2810
81,329824,2819,2819
82,330656,2828,2828
83,330272,2837,2837
84,330144,2846,2846
85,330144,2855,2855
86,330496,2864,2864
87,329440,2873,2873
88,329920,2882,2882
89,287328,2891,2891
90,306656,2900,2900
91,329952,2909,2909
92,288800,2918,2918
93,6048,2924,2924
94,94624,2939,2939
95,5632,2945,2945
96,32864,2954,2954
97,608,2985,2985
98,1202368,3000,3000
