HUD frame time nsec:,16723000

Range Index,Elapsed Time, First Event,Last Event
0,6400,13,13
1,4544,15,15
2,2208,18,18
3,172448,53,53
4,6080,61,61
5,3872,101,101
6,1216,142,142
7,1280,183,183
8,1120,224,224
9,1056,265,265
10,3648,306,306
11,3680,347,347
12,4512,388,388
13,608,429,429
14,640,470,470
15,672,511,511
16,608,552,552
17,5184,593,593
18,6112,634,634
19,6720,675,675
20,6496,716,716
21,608,757,757
22,608,798,798
23,10080,839,839
24,13408,880,880
25,13248,921,921
26,9472,962,962
27,6496,1003,1003
28,6272,1044,1044
29,65152,1085,1085
30,57920,1126,1126
31,43936,1167,1167
32,24128,1208,1208
33,13856,1249,1249
34,9824,1290,1290
35,6528,1331,1331
36,6240,1372,1372
37,64992,1413,1413
38,56096,1454,1454
39,42400,1495,1495
40,25664,1536,1536
41,14464,1577,1577
42,9088,1618,1618
43,7264,1659,1659
44,5856,1700,1700
45,640,1741,1741
46,640,1782,1782
47,10016,1823,1823
48,14624,1864,1864
49,13120,1905,1905
50,9280,1946,1946
51,7104,1987,1987
52,6144,2028,2028
53,640,2069,2069
54,640,2110,2110
55,640,2151,2151
56,672,2192,2192
57,3328,2233,2233
58,6016,2274,2274
59,7808,2315,2315
60,5856,2356,2356
61,640,2397,2397
62,608,2438,2438
63,608,2479,2479
64,608,2520,2520
65,608,2561,2561
66,608,2602,2602
67,640,2643,2643
68,2592,2684,2684
69,95552,2709,2709
70,6304,2714,2714
71,97920,2725,2725
72,10432,2734,2734
73,296128,2748,2748
74,289664,2757,2757
75,287744,2766,2766
76,288448,2775,2775
77,287552,2784,2784
78,288640,2793,2793
79,287776,2802,2802
80,288320,2811,2811
81,287648,2820,2820
82,288224,2829,2829
83,632640,2838,2838
84,289568,2847,2847
85,288096,2856,2856
86,288864,2865,2865
87,287808,2874,2874
88,289216,2883,2883
89,288576,2892,2892
90,288736,2901,2901
91,311328,2910,2910
92,289568,2919,2919
93,6592,2925,2925
94,95104,2940,2940
95,5600,2946,2946
96,33664,2955,2955
97,640,2986,2986
98,343328,3001,3001
