HUD frame time nsec:,17010000

Range Index,Elapsed Time, First Event,Last Event
0,7264,13,13
1,3584,15,15
2,1888,18,18
3,175072,53,53
4,6112,61,61
5,3680,101,101
6,1184,142,142
7,1152,183,183
8,1152,224,224
9,1088,265,265
10,3488,306,306
11,4448,347,347
12,4320,388,388
13,640,429,429
14,640,470,470
15,608,511,511
16,608,552,552
17,4608,593,593
18,5760,634,634
19,7136,675,675
20,6048,716,716
21,640,757,757
22,640,798,798
23,10688,839,839
24,12896,880,880
25,13472,921,921
26,9600,962,962
27,6464,1003,1003
28,6976,1044,1044
29,64096,1085,1085
30,58048,1126,1126
31,43744,1167,1167
32,24000,1208,1208
33,13472,1249,1249
34,10144,1290,1290
35,6112,1331,1331
36,6816,1372,1372
37,65120,1413,1413
38,56064,1454,1454
39,42784,1495,1495
40,25984,1536,1536
41,14368,1577,1577
42,9088,1618,1618
43,7392,1659,1659
44,5952,1700,1700
45,608,1741,1741
46,608,1782,1782
47,9824,1823,1823
48,14336,1864,1864
49,12864,1905,1905
50,9408,1946,1946
51,6944,1987,1987
52,5984,2028,2028
53,640,2069,2069
54,640,2110,2110
55,640,2151,2151
56,608,2192,2192
57,3744,2233,2233
58,6272,2274,2274
59,7136,2315,2315
60,6496,2356,2356
61,608,2397,2397
62,640,2438,2438
63,640,2479,2479
64,608,2520,2520
65,608,2561,2561
66,640,2602,2602
67,1376,2643,2643
68,2784,2684,2684
69,95520,2709,2709
70,6464,2714,2714
71,97856,2725,2725
72,10144,2733,2733
73,736,2747,2747
74,3232,2756,2756
75,2848,2765,2765
76,2816,2774,2774
77,2816,2783,2783
78,2880,2792,2792
79,2784,2801,2801
80,2816,2810,2810
81,2816,2819,2819
82,2784,2828,2828
83,2784,2837,2837
84,2784,2846,2846
85,2784,2855,2855
86,2848,2864,2864
87,2784,2873,2873
88,2784,2882,2882
89,2784,2891,2891
90,2784,2900,2900
91,26368,2909,2909
92,2912,2918,2918
93,6240,2924,2924
94,94976,2939,2939
95,5632,2945,2945
96,34912,2954,2954
97,640,2985,2985
98,4058208,3000,3000
