HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,5984,13,13
1,2272,15,15
2,1024,18,18
3,32832,49,49
4,60192,89,89
5,6496,97,97
6,3296,137,137
7,736,178,178
8,768,219,219
9,736,260,260
10,800,301,301
11,1408,342,342
12,736,383,383
13,768,424,424
14,800,465,465
15,736,506,506
16,768,547,547
17,704,588,588
18,736,629,629
19,768,670,670
20,704,711,711
21,736,752,752
22,736,793,793
23,736,834,834
24,1632,875,875
25,4352,916,916
26,4608,957,957
27,2816,998,998
28,1632,1039,1039
29,1248,1080,1080
30,23680,1121,1121
31,22752,1162,1162
32,15584,1203,1203
33,8352,1244,1244
34,4096,1285,1285
35,2496,1326,1326
36,1696,1367,1367
37,1600,1408,1408
38,23840,1449,1449
39,20512,1490,1490
40,14272,1531,1531
41,8224,1572,1572
42,5376,1613,1613
43,2720,1654,1654
44,1728,1695,1695
45,1120,1736,1736
46,832,1777,1777
47,736,1818,1818
48,736,1859,1859
49,5056,1900,1900
50,4800,1941,1941
51,2912,1982,1982
52,1856,2023,2023
53,1120,2064,2064
54,768,2105,2105
55,704,2146,2146
56,704,2187,2187
57,736,2228,2228
58,704,2269,2269
59,704,2310,2310
60,736,2351,2351
61,736,2392,2392
62,736,2433,2433
63,864,2474,2474
64,736,2515,2515
65,704,2556,2556
66,736,2597,2597
67,736,2638,2638
68,736,2679,2679
69,736,2720,2720
70,57376,2745,2745
71,6528,2750,2750
72,60672,2761,2761
73,6144,2767,2767
74,184416,2783,2783
75,194176,2792,2792
76,177504,2801,2801
77,182080,2810,2810
78,176448,2819,2819
79,184352,2828,2828
80,176384,2837,2837
81,182816,2846,2846
82,174528,2855,2855
83,182816,2864,2864
84,174112,2873,2873
85,183936,2882,2882
86,175616,2891,2891
87,208384,2900,2900
88,175552,2909,2909
89,181696,2918,2918
90,175456,2927,2927
91,181376,2936,2936
92,173952,2945,2945
93,182432,2954,2954
94,13568,2960,2960
95,57184,2975,2975
96,5824,2981,2981
97,15360,2990,2990
98,768,3021,3021
99,8655328,3036,3036
