HUD frame time nsec:,16725000

Range Index,Elapsed Time, First Event,Last Event
0,6304,13,13
1,4416,15,15
2,1888,18,18
3,173152,53,53
4,6144,61,61
5,3840,101,101
6,1216,142,142
7,1152,183,183
8,1184,224,224
9,1056,265,265
10,1120,306,306
11,1248,347,347
12,1088,388,388
13,1088,429,429
14,1184,470,470
15,1120,511,511
16,1248,552,552
17,1024,593,593
18,1120,634,634
19,1024,675,675
20,1120,716,716
21,1184,757,757
22,1184,798,798
23,1056,839,839
24,1184,880,880
25,4192,921,921
26,3136,962,962
27,3648,1003,1003
28,4800,1044,1044
29,62688,1085,1085
30,65984,1126,1126
31,29920,1167,1167
32,21504,1208,1208
33,15168,1249,1249
34,12224,1290,1290
35,9184,1331,1331
36,8832,1372,1372
37,61696,1413,1413
38,68032,1454,1454
39,68928,1495,1495
40,39264,1536,1536
41,19808,1577,1577
42,12032,1618,1618
43,8672,1659,1659
44,6912,1700,1700
45,640,1741,1741
46,4096,1782,1782
47,26720,1823,1823
48,30144,1864,1864
49,16768,1905,1905
50,9792,1946,1946
51,8128,1987,1987
52,6496,2028,2028
53,640,2069,2069
54,640,2110,2110
55,608,2151,2151
56,7680,2192,2192
57,368512,2233,2233
58,10048,2274,2274
59,8256,2315,2315
60,5856,2356,2356
61,640,2397,2397
62,608,2438,2438
63,640,2479,2479
64,640,2520,2520
65,2976,2561,2561
66,7936,2602,2602
67,5536,2643,2643
68,4288,2684,2684
69,95840,2709,2709
70,6496,2714,2714
71,97792,2725,2725
72,10304,2733,2733
73,291680,2747,2747
74,291744,2756,2756
75,288896,2765,2765
76,288704,2774,2774
77,288192,2783,2783
78,288448,2792,2792
79,288160,2801,2801
80,288768,2810,2810
81,287680,2819,2819
82,289856,2828,2828
83,287936,2837,2837
84,288224,2846,2846
85,288416,2855,2855
86,288480,2864,2864
87,288256,2873,2873
88,288352,2882,2882
89,287808,2891,2891
90,307392,2900,2900
91,287840,2909,2909
92,289632,2918,2918
93,6048,2924,2924
94,95232,2939,2939
95,5632,2945,2945
96,33312,2954,2954
97,640,2985,2985
98,1104736,3000,3000
