HUD frame time nsec:,16915000

Range Index,Elapsed Time, First Event,Last Event
0,6272,13,13
1,4544,15,15
2,1856,18,18
3,171008,53,53
4,5888,60,60
5,3904,95,95
6,1088,128,128
7,1184,161,161
8,1184,194,194
9,1120,227,227
10,4000,260,260
11,3232,293,293
12,4896,326,326
13,640,359,359
14,768,392,392
15,608,425,425
16,704,458,458
17,5408,491,491
18,6080,524,524
19,6720,557,557
20,5664,590,590
21,640,623,623
22,608,656,656
23,10400,689,689
24,13632,722,722
25,13408,755,755
26,9376,788,788
27,6528,821,821
28,6208,854,854
29,64992,887,887
30,57888,920,920
31,43232,953,953
32,24576,986,986
33,14240,1019,1019
34,9152,1052,1052
35,7040,1085,1085
36,6528,1118,1118
37,63296,1151,1151
38,56288,1184,1184
39,42976,1217,1217
40,25184,1250,1250
41,14496,1283,1283
42,9184,1316,1316
43,6944,1349,1349
44,5344,1382,1382
45,640,1415,1415
46,640,1448,1448
47,11168,1481,1481
48,14112,1514,1514
49,12672,1547,1547
50,9376,1580,1580
51,6752,1613,1613
52,5440,1646,1646
53,608,1679,1679
54,640,1712,1712
55,608,1745,1745
56,1376,1778,1778
57,4928,1811,1811
58,6432,1844,1844
59,7008,1877,1877
60,6208,1910,1910
61,640,1943,1943
62,640,1976,1976
63,640,2009,2009
64,640,2042,2042
65,640,2075,2075
66,640,2108,2108
67,704,2141,2141
68,2880,2174,2174
69,44896,2197,2197
70,608,2228,2228
71,7512608,2243,2243
