HUD frame time nsec:,16725000

Range Index,Elapsed Time, First Event,Last Event
0,6080,13,13
1,4608,15,15
2,1888,18,18
3,53344,49,49
4,155488,89,89
5,6144,97,97
6,3776,137,137
7,1024,178,178
8,1184,219,219
9,1152,260,260
10,1088,301,301
11,4192,342,342
12,2784,383,383
13,4832,424,424
14,640,465,465
15,608,506,506
16,640,547,547
17,608,588,588
18,5920,629,629
19,5728,670,670
20,7200,711,711
21,5952,752,752
22,640,793,793
23,608,834,834
24,10368,875,875
25,13504,916,916
26,13376,957,957
27,9696,998,998
28,6656,1039,1039
29,6208,1080,1080
30,64640,1121,1121
31,58912,1162,1162
32,42912,1203,1203
33,23840,1244,1244
34,14592,1285,1285
35,9056,1326,1326
36,7168,1367,1367
37,5504,1408,1408
38,65088,1449,1449
39,56672,1490,1490
40,42720,1531,1531
41,26016,1572,1572
42,14016,1613,1613
43,9248,1654,1654
44,8192,1695,1695
45,5664,1736,1736
46,640,1777,1777
47,640,1818,1818
48,9632,1859,1859
49,14880,1900,1900
50,13120,1941,1941
51,9408,1982,1982
52,6368,2023,2023
53,6496,2064,2064
54,640,2105,2105
55,640,2146,2146
56,640,2187,2187
57,608,2228,2228
58,4000,2269,2269
59,6080,2310,2310
60,6656,2351,2351
61,6272,2392,2392
62,640,2433,2433
63,608,2474,2474
64,608,2515,2515
65,608,2556,2556
66,608,2597,2597
67,640,2638,2638
68,1504,2679,2679
69,3040,2720,2720
70,95456,2745,2745
71,6112,2750,2750
72,97760,2761,2761
73,10304,2769,2769
74,292192,2783,2783
75,293536,2792,2792
76,289216,2801,2801
77,309824,2810,2810
78,305312,2819,2819
79,306208,2828,2828
80,298496,2837,2837
81,305504,2846,2846
82,304672,2855,2855
83,307424,2864,2864
84,306144,2873,2873
85,289024,2882,2882
86,305440,2891,2891
87,306624,2900,2900
88,288800,2909,2909
89,306688,2918,2918
90,288320,2927,2927
91,312960,2936,2936
92,288800,2945,2945
93,289568,2954,2954
94,6016,2960,2960
95,94624,2975,2975
96,5664,2981,2981
97,33184,2990,2990
98,608,3021,3021
99,3115808,3036,3036
