HUD frame time nsec:,16725000

Range Index,Elapsed Time, First Event,Last Event
0,6304,13,13
1,4576,15,15
2,2176,18,18
3,199584,53,53
4,5920,61,61
5,4000,96,96
6,1120,129,129
7,1152,162,162
8,992,195,195
9,4576,228,228
10,2528,261,261
11,4896,294,294
12,6528,327,327
13,608,360,360
14,672,393,393
15,640,426,426
16,3904,459,459
17,8704,492,492
18,8480,525,525
19,8736,558,558
20,7328,591,591
21,640,624,624
22,12608,657,657
23,25504,690,690
24,21856,723,723
25,15936,756,756
26,10144,789,789
27,7648,822,822
28,6720,855,855
29,608,888,888
30,41760,921,921
31,43648,954,954
32,24448,987,987
33,14848,1020,1020
34,10432,1053,1053
35,7872,1086,1086
36,6880,1119,1119
37,608,1152,1152
38,12064,1185,1185
39,27200,1218,1218
40,23552,1251,1251
41,15072,1284,1284
42,9920,1317,1317
43,8384,1350,1350
44,6112,1383,1383
45,640,1416,1416
46,608,1449,1449
47,1984,1482,1482
48,8320,1515,1515
49,10336,1548,1548
50,9600,1581,1581
51,7968,1614,1614
52,7072,1647,1647
53,640,1680,1680
54,640,1713,1713
55,640,1746,1746
56,608,1779,1779
57,608,1812,1812
58,4384,1845,1845
59,6688,1878,1878
60,6848,1911,1911
61,608,1944,1944
62,640,1977,1977
63,608,2010,2010
64,608,2043,2043
65,608,2076,2076
66,672,2109,2109
67,640,2142,2142
68,1152,2175,2175
69,47168,2198,2198
70,640,2229,2229
71,10948448,2244,2244
