HUD frame time nsec:,16719000

Range Index,Elapsed Time, First Event,Last Event
0,7168,13,13
1,3616,15,15
2,2208,18,18
3,53376,49,49
4,157856,89,89
5,5952,97,97
6,3904,137,137
7,960,178,178
8,1248,219,219
9,1152,260,260
10,1248,301,301
11,4416,342,342
12,3072,383,383
13,4128,424,424
14,608,465,465
15,608,506,506
16,672,547,547
17,896,588,588
18,5696,629,629
19,6208,670,670
20,7392,711,711
21,5504,752,752
22,608,793,793
23,608,834,834
24,10432,875,875
25,13536,916,916
26,13248,957,957
27,9536,998,998
28,6432,1039,1039
29,6048,1080,1080
30,65312,1121,1121
31,58592,1162,1162
32,42880,1203,1203
33,24384,1244,1244
34,14272,1285,1285
35,9376,1326,1326
36,7136,1367,1367
37,5920,1408,1408
38,64512,1449,1449
39,56672,1490,1490
40,42688,1531,1531
41,25664,1572,1572
42,14144,1613,1613
43,9376,1654,1654
44,7424,1695,1695
45,5440,1736,1736
46,640,1777,1777
47,608,1818,1818
48,10752,1859,1859
49,14624,1900,1900
50,15360,1941,1941
51,7296,1982,1982
52,6496,2023,2023
53,9280,2064,2064
54,608,2105,2105
55,672,2146,2146
56,640,2187,2187
57,608,2228,2228
58,608,2269,2269
59,5600,2310,2310
60,6848,2351,2351
61,6240,2392,2392
62,640,2433,2433
63,640,2474,2474
64,640,2515,2515
65,608,2556,2556
66,608,2597,2597
67,640,2638,2638
68,1312,2679,2679
69,2816,2720,2720
70,95776,2745,2745
71,10240,2752,2752
72,292000,2766,2766
73,292128,2775,2775
74,288160,2784,2784
75,288960,2793,2793
76,288800,2802,2802
77,630592,2811,2811
78,288416,2820,2820
79,289856,2829,2829
80,288832,2838,2838
81,288992,2847,2847
82,288480,2856,2856
83,288768,2865,2865
84,287712,2874,2874
85,288480,2883,2883
86,288000,2892,2892
87,288544,2901,2901
88,287680,2910,2910
89,288800,2919,2919
90,288384,2928,2928
91,288192,2937,2937
92,24704,2943,2943
93,97664,2958,2958
94,5664,2964,2964
95,33344,2973,2973
96,640,3004,3004
97,644640,3019,3019
