HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,6112,13,13
1,2464,15,15
2,1088,18,18
3,101984,52,52
4,25088,85,85
5,6592,95,95
6,3296,134,134
7,704,174,174
8,768,214,214
9,704,254,254
10,768,294,294
11,704,334,334
12,768,374,374
13,736,414,414
14,928,454,454
15,768,494,494
16,768,534,534
17,704,574,574
18,768,614,614
19,1248,654,654
20,768,694,694
21,704,734,734
22,704,774,774
23,800,814,814
24,704,854,854
25,4832,894,894
26,6080,934,934
27,5504,974,974
28,4864,1014,1014
29,960,1054,1054
30,704,1094,1094
31,704,1134,1134
32,928,1174,1174
33,5600,1214,1214
34,5376,1254,1254
35,4896,1294,1294
36,6272,1334,1334
37,2176,1374,1374
38,704,1414,1414
39,704,1454,1454
40,1760,1494,1494
41,2976,1534,1534
42,3456,1574,1574
43,3232,1614,1614
44,3520,1654,1654
45,1152,1694,1694
46,768,1734,1734
47,704,1774,1774
48,2944,1814,1814
49,2624,1854,1854
50,2272,1894,1894
51,1696,1934,1934
52,1792,1974,1974
53,1184,2014,2014
54,736,2054,2054
55,768,2094,2094
56,1920,2134,2134
57,2400,2174,2174
58,1120,2214,2214
59,1504,2254,2254
60,1760,2294,2294
61,1792,2334,2334
62,736,2374,2374
63,928,2414,2414
64,960,2454,2454
65,960,2494,2494
66,864,2534,2534
67,704,2574,2574
68,736,2614,2614
69,1248,2654,2654
70,57312,2679,2679
71,6784,2684,2684
72,60448,2695,2695
73,6144,2701,2701
74,179264,2717,2717
75,175456,2726,2726
76,169792,2735,2735
77,170944,2744,2744
78,169536,2753,2753
79,172992,2762,2762
80,168928,2771,2771
81,171840,2780,2780
82,168928,2789,2789
83,173408,2798,2798
84,171200,2807,2807
85,171488,2816,2816
86,172544,2825,2825
87,181312,2834,2834
88,170112,2843,2843
89,173024,2852,2852
90,170816,2861,2861
91,174400,2870,2870
92,184352,2879,2879
93,172768,2888,2888
94,7488,2894,2894
95,56832,2909,2909
96,5824,2915,2915
97,16320,2924,2924
98,736,2955,2955
99,8905536,2970,2970
