HUD frame time nsec:,16725000

Range Index,Elapsed Time, First Event,Last Event
0,6464,13,13
1,4576,15,15
2,2240,18,18
3,156480,53,53
4,5920,61,61
5,64160,97,97
6,41920,130,130
7,22048,163,163
8,12768,196,196
9,8864,229,229
10,6816,262,262
11,5376,295,295
12,4704,328,328
13,44736,361,361
14,40608,394,394
15,21344,427,427
16,12352,460,460
17,8480,493,493
18,6208,526,526
19,5312,559,559
20,4512,592,592
21,2656,625,625
22,13472,658,658
23,16224,691,691
24,10976,724,724
25,9408,757,757
26,5792,790,790
27,6464,823,823
28,4896,856,856
29,608,889,889
30,608,922,922
31,640,955,955
32,5728,988,988
33,6912,1021,1021
34,6912,1054,1054
35,5760,1087,1087
36,5088,1120,1120
37,640,1153,1153
38,640,1186,1186
39,608,1219,1219
40,608,1252,1252
41,640,1285,1285
42,4192,1318,1318
43,5472,1351,1351
44,4768,1384,1384
45,640,1417,1417
46,608,1450,1450
47,608,1483,1483
48,608,1516,1516
49,640,1549,1549
50,640,1582,1582
51,2048,1615,1615
52,3168,1648,1648
53,640,1681,1681
54,640,1714,1714
55,608,1747,1747
56,640,1780,1780
57,608,1813,1813
58,608,1846,1846
59,640,1879,1879
60,640,1912,1912
61,672,1945,1945
62,640,1978,1978
63,608,2011,2011
64,640,2044,2044
65,608,2077,2077
66,608,2110,2110
67,608,2143,2143
68,608,2176,2176
69,40928,2200,2200
70,1408,2231,2231
71,11160160,2246,2246
