HUD frame time nsec:,16713000

Range Index,Elapsed Time, First Event,Last Event
0,6144,13,13
1,5056,15,15
2,1888,18,18
3,53248,49,49
4,155296,89,89
5,6144,97,97
6,3808,137,137
7,1024,178,178
8,1184,219,219
9,1184,260,260
10,1152,301,301
11,3840,342,342
12,3040,383,383
13,4608,424,424
14,608,465,465
15,640,506,506
16,608,547,547
17,832,588,588
18,6720,629,629
19,6592,670,670
20,7232,711,711
21,5696,752,752
22,640,793,793
23,608,834,834
24,10368,875,875
25,12736,916,916
26,13792,957,957
27,9344,998,998
28,7232,1039,1039
29,4800,1080,1080
30,65568,1121,1121
31,58688,1162,1162
32,43168,1203,1203
33,24448,1244,1244
34,14304,1285,1285
35,9664,1326,1326
36,6560,1367,1367
37,6528,1408,1408
38,64096,1449,1449
39,56896,1490,1490
40,42784,1531,1531
41,25760,1572,1572
42,14784,1613,1613
43,9216,1654,1654
44,7264,1695,1695
45,6016,1736,1736
46,640,1777,1777
47,640,1818,1818
48,9568,1859,1859
49,15136,1900,1900
50,12672,1941,1941
51,10048,1982,1982
52,5952,2023,2023
53,6528,2064,2064
54,608,2105,2105
55,608,2146,2146
56,640,2187,2187
57,640,2228,2228
58,3072,2269,2269
59,6176,2310,2310
60,7520,2351,2351
61,6432,2392,2392
62,672,2433,2433
63,608,2474,2474
64,640,2515,2515
65,640,2556,2556
66,608,2597,2597
67,608,2638,2638
68,640,2679,2679
69,2592,2720,2720
70,95808,2745,2745
71,10432,2752,2752
72,290752,2766,2766
73,292640,2775,2775
74,289280,2784,2784
75,290304,2793,2793
76,288128,2802,2802
77,289184,2811,2811
78,288544,2820,2820
79,290080,2829,2829
80,287520,2838,2838
81,288896,2847,2847
82,287904,2856,2856
83,290048,2865,2865
84,288384,2874,2874
85,289152,2883,2883
86,288544,2892,2892
87,288480,2901,2901
88,288064,2910,2910
89,289184,2919,2919
90,288160,2928,2928
91,288800,2937,2937
92,24096,2943,2943
93,97536,2958,2958
94,5632,2964,2964
95,35616,2973,2973
96,640,3004,3004
97,1274528,3019,3019
