HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,5984,13,13
1,2560,15,15
2,864,18,18
3,32512,48,48
4,45280,87,87
5,6592,95,95
6,3168,134,134
7,736,174,174
8,768,214,214
9,768,254,254
10,800,294,294
11,800,334,334
12,768,374,374
13,768,414,414
14,736,454,454
15,768,494,494
16,704,534,534
17,800,574,574
18,704,614,614
19,768,654,654
20,736,694,694
21,800,734,734
22,736,774,774
23,704,814,814
24,736,854,854
25,736,894,894
26,800,934,934
27,704,974,974
28,704,1014,1014
29,736,1054,1054
30,13984,1094,1094
31,4416,1134,1134
32,736,1174,1174
33,704,1214,1214
34,736,1254,1254
35,736,1294,1294
36,736,1334,1334
37,704,1374,1374
38,16128,1414,1414
39,25568,1454,1454
40,9728,1494,1494
41,3424,1534,1534
42,928,1574,1574
43,704,1614,1614
44,736,1654,1654
45,704,1694,1694
46,1632,1734,1734
47,20192,1774,1774
48,12384,1814,1814
49,7616,1854,1854
50,3680,1894,1894
51,2592,1934,1934
52,1344,1974,1974
53,736,2014,2014
54,768,2054,2054
55,4576,2094,2094
56,7648,2134,2134
57,5280,2174,2174
58,3264,2214,2214
59,2464,2254,2254
60,1696,2294,2294
61,1248,2334,2334
62,736,2374,2374
63,704,2414,2414
64,4224,2454,2454
65,3360,2494,2494
66,2240,2534,2534
67,1632,2574,2574
68,1024,2614,2614
69,800,2654,2654
70,56768,2679,2679
71,6560,2684,2684
72,60544,2695,2695
73,6112,2701,2701
74,179072,2717,2717
75,179488,2726,2726
76,172416,2735,2735
77,173888,2744,2744
78,172000,2753,2753
79,174144,2762,2762
80,169856,2771,2771
81,174720,2780,2780
82,172864,2789,2789
83,173088,2798,2798
84,171200,2807,2807
85,173888,2816,2816
86,170176,2825,2825
87,172096,2834,2834
88,170720,2843,2843
89,172544,2852,2852
90,169344,2861,2861
91,172896,2870,2870
92,192288,2879,2879
93,172768,2888,2888
94,7200,2894,2894
95,57792,2909,2909
96,5824,2915,2915
97,17088,2924,2924
98,736,2955,2955
99,8820832,2970,2970

Range Index,Elapsed Time, First Event,Last Event
0,5504,1,1
1,7296,3,3
2,12032,18,18
3,14368,76,76
4,736,80,80
5,704,84,84
6,704,88,88
7,704,92,92
8,7776,129,129
9,11616,141,141
10,37952,201,201
11,704,205,205
12,704,209,209
13,736,213,213
14,736,217,217
15,704,256,256
16,6336,261,261
17,15136,270,270
18,704,301,301
19,14174368,316,316
