HUD frame time nsec:,16726000

Range Index,Elapsed Time, First Event,Last Event
0,6368,13,13
1,4640,15,15
2,1920,18,18
3,171808,53,53
4,5824,60,60
5,3936,95,95
6,928,128,128
7,1440,161,161
8,800,194,194
9,1216,227,227
10,4864,260,260
11,2592,293,293
12,5056,326,326
13,608,359,359
14,640,392,392
15,640,425,425
16,640,458,458
17,4672,491,491
18,5472,524,524
19,6496,557,557
20,6528,590,590
21,608,623,623
22,608,656,656
23,10400,689,689
24,13056,722,722
25,12288,755,755
26,9856,788,788
27,8320,821,821
28,5824,854,854
29,64000,887,887
30,57120,920,920
31,43200,953,953
32,23360,986,986
33,13888,1019,1019
34,9184,1052,1052
35,7872,1085,1085
36,5440,1118,1118
37,64896,1151,1151
38,56000,1184,1184
39,42368,1217,1217
40,25536,1250,1250
41,13856,1283,1283
42,9088,1316,1316
43,7584,1349,1349
44,5696,1382,1382
45,640,1415,1415
46,640,1448,1448
47,10592,1481,1481
48,14816,1514,1514
49,13056,1547,1547
50,9248,1580,1580
51,7392,1613,1613
52,4992,1646,1646
53,640,1679,1679
54,640,1712,1712
55,608,1745,1745
56,608,1778,1778
57,4640,1811,1811
58,6144,1844,1844
59,8096,1877,1877
60,6304,1910,1910
61,608,1943,1943
62,640,1976,1976
63,640,2009,2009
64,640,2042,2042
65,640,2075,2075
66,640,2108,2108
67,640,2141,2141
68,2656,2174,2174
69,44992,2197,2197
70,640,2228,2228
71,11373312,2243,2243
