HUD frame time nsec:,16726000

Range Index,Elapsed Time, First Event,Last Event
0,6048,13,13
1,4544,15,15
2,1888,18,18
3,175232,53,53
4,5920,61,61
5,4096,96,96
6,928,129,129
7,1184,162,162
8,1216,195,195
9,1376,228,228
10,4160,261,261
11,4288,294,294
12,4576,327,327
13,608,360,360
14,608,393,393
15,640,426,426
16,640,459,459
17,3936,492,492
18,6336,525,525
19,7104,558,558
20,5792,591,591
21,608,624,624
22,640,657,657
23,10304,690,690
24,13312,723,723
25,12768,756,756
26,9632,789,789
27,6304,822,822
28,6752,855,855
29,64896,888,888
30,58240,921,921
31,42816,954,954
32,23712,987,987
33,13664,1020,1020
34,9504,1053,1053
35,7008,1086,1086
36,6464,1119,1119
37,64224,1152,1152
38,55776,1185,1185
39,42400,1218,1218
40,25984,1251,1251
41,14016,1284,1284
42,9088,1317,1317
43,7136,1350,1350
44,5728,1383,1383
45,608,1416,1416
46,608,1449,1449
47,10016,1482,1482
48,14688,1515,1515
49,12736,1548,1548
50,9504,1581,1581
51,6528,1614,1614
52,6176,1647,1647
53,640,1680,1680
54,640,1713,1713
55,640,1746,1746
56,640,1779,1779
57,4416,1812,1812
58,5696,1845,1845
59,7552,1878,1878
60,5600,1911,1911
61,640,1944,1944
62,704,1977,1977
63,640,2010,2010
64,640,2043,2043
65,640,2076,2076
66,608,2109,2109
67,1984,2142,2142
68,2752,2175,2175
69,42784,2199,2199
70,608,2230,2230
71,10044672,2245,2245
