HUD frame time nsec:,16725000

Range Index,Elapsed Time, First Event,Last Event
0,6144,13,13
1,4544,15,15
2,1888,18,18
3,174624,53,53
4,5888,61,61
5,4000,97,97
6,1248,130,130
7,1120,163,163
8,1056,196,196
9,1152,229,229
10,3936,262,262
11,3456,295,295
12,4896,328,328
13,640,361,361
14,608,394,394
15,608,427,427
16,640,460,460
17,5056,493,493
18,6176,526,526
19,7520,559,559
20,5920,592,592
21,608,625,625
22,640,658,658
23,9952,691,691
24,14208,724,724
25,12096,757,757
26,9536,790,790
27,6912,823,823
28,5600,856,856
29,65056,889,889
30,58592,922,922
31,42752,955,955
32,24288,988,988
33,14272,1021,1021
34,8800,1054,1054
35,7520,1087,1087
36,6208,1120,1120
37,64960,1153,1153
38,56256,1186,1186
39,42016,1219,1219
40,25600,1252,1252
41,14304,1285,1285
42,9280,1318,1318
43,6912,1351,1351
44,6368,1384,1384
45,640,1417,1417
46,608,1450,1450
47,9696,1483,1483
48,14752,1516,1516
49,12832,1549,1549
50,9536,1582,1582
51,7072,1615,1615
52,6208,1648,1648
53,640,1681,1681
54,608,1714,1714
55,640,1747,1747
56,672,1780,1780
57,2720,1813,1813
58,6304,1846,1846
59,6560,1879,1879
60,4800,1912,1912
61,608,1945,1945
62,640,1978,1978
63,27712,2011,2011
64,1600,2044,2044
65,1088,2077,2077
66,4800,2110,2110
67,1824,2143,2143
68,2880,2176,2176
69,42560,2200,2200
70,608,2231,2231
71,10988960,2246,2246
